|CD_CLIENTE|CD_DICTAMEN|CD_TIPOLOGIA|SEG_MOD|DES_RIE_TIP|DES_COT_BMV|DES_ID_SEC|DES_ID_SEG|DES_ID_EDO|DES_ID_BAN|DES_ID_RB|DES_EDA|DES_ANT_CTE|DES_ANT_CTA|DES_MON_DEC|EFE_NU_MES_MON0|EFE_NU_MES_MON1|EFE_NU_MES_MOND|   EFE_SD_MON0|    EFE_SD_MON1|   EFE_SD_MOND|EFE_NU_MES_MOV0|EFE_NU_MES_MOV1|   EFE_SD_MOV0|    EFE_SD_MOV1|OPI_NU_MES_MON0|OPI_NU_MES_MON1|OPI_NU_MES_MOND|   OPI_SD_MON0|  OPI_SD_MON1|  OPI_SD_MOND|OPI_NU_MES_MOV0|OPI_NU_MES_MOV1|  OPI_SD_MOV0|  OPI_SD_MOV1|OPI_NU_PAI0|OPI_NU_PAI1|OPI_SUM_RIE0|OPI_SUM_RIE1|OPI_NU_PAI_PAR0|OPI_NU_PAI_PAR1|OPI_PON_MON_PAR0|OPI_PON_MON_PAR1|MEC_NU_MES_MON0|MEC_NU_MES_MON1|     MEC_SD_MON0|    MEC_SD_MON1|MEC_SUM_RIE0|MEC_SUM_RIE1|MEC_PON_MON0|MEC_PON_MON1|TER_PON_MON0|TER_PON_MON1|BTS_NU_MES_MON1| BTS_SD_MON1|CHP_NU_MES_MON0|CHP_NU_MES_MON1| CHP_SD_MON0| CHP_SD_MON1|CHC_NU_MES_MON0|CHC_NU_MES_MON1| CHC_SD_MON0| CHC_SD_MON1|SPE_NU_MES_MON0|SPE_NU_MES_MON1| SPE_SD_MON0| SPE_SD_MON1|SPE_PON_MON0|SPE_PON_MON1|SPI_NU_MES_MON0|SPI_NU_MES_MON1| SPI_SD_MON0| SPI_SD_MON1|DES_ID_PAI_NAC|DES_ID_OCU|DES_ID_SOC|DES_GPO|DES_ACT_VUL|DES_RSK_SEG|DES_RSK_GES|DES_RSK_ALT|DES_RSK_NAC|DES_DIS_ALT_GES|DES_RSK_SEC|DES_RSK_ACT|DES_RSK_OCU|DES_RSK_SOC|DES_NU_INT|DES_NU_CAP|DES_NU_EMP|DES_NU_PRO|DES_NU_SEG|EFE_NU_MOV|EFE_NU_MES|EFE_AVG_MON|EFE_AVG_MON0|EFE_AVG_MON1|EFE_AVG_MONV|EFE_AVG_MONC|EFE_AVG_MONM|EFE_AVG_MONR|EFE_MAX_OFI|EFE_MAX_DIS|EFE_MON_USD_FN|EFE_MON_MXP_FN|EFE_MON_USD_AR|EFE_MON_MXP_AR|OPI_NU_MOV0|OPI_NU_MOV1|OPI_NU_MES0|OPI_NU_MES1|OPI_AVG_MON0|OPI_AVG_MON1|OPI_NU_CTA0|OPI_NU_CTA1|OPI_MAX_PAI0|OPI_MAX_PAI1|OPI_NU_PAI00|OPI_NU_PAI11|TER_NU_MES0|TER_NU_MES1| TER_AVG_MON0| TER_AVG_MON1|TER_NU_MOV_LI0|TER_NU_MOV_LI1|TER_SUM_MON_LI0|TER_SUM_MON_LI1|TER_NU_CTE_LI0|TER_NU_CTE_LI1|BTS_NU_MES1|BTS_AVG_MON1|CHP_NU_MES0|CHP_NU_MES1|CHP_AVG_MON_EFE|CHP_AVG_MON0|CHP_NU_MOV_LI0|CHP_SUM_MON_LI0|CHP_NU_CTE_LI0|CHC_NU_MES0|CHC_NU_MES1|CHC_AVG_MON0|CHC_AVG_MON1|CHC_AVG_MON_OTR|CHC_SUM_MON_LI0|CHC_SUM_MON_LI1|CHC_NU_CTE_LI0|CHC_NU_CTE_LI1|SPE_NU_MES0|SPE_NU_MES1| SPE_AVG_MON0| SPE_AVG_MON1|SPE_NU_CTA0|SPE_NU_CTA1|SPE_SUM_MON_LI0|SPE_SUM_MON_LI1|SPE_NU_CTE_LI0|SPE_NU_CTE_LI1|SPI_NU_MES0|SPI_NU_MES1|SPI_AVG_MON0| SPI_AVG_MON1|SPI_NU_CTA0|SPI_NU_CTA1|CCC_NU_CTE_LI|
|       156|          0|          MD|      2|     0.4037|          0|        01|        07|        13|        01|       35| 40.712|      7.274|       2.96|      15000|              0|              1|              0|             0|   0.4179431072|  0.4179431072|              0|              0|             0|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              1|              1|    0.4209549994|   0.0030118922|    13.62948|    13.90775|    11.60619|      10.397|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       089|        00|      0|          1|    7.20468|          1|          1|          1|              0|         10|     7.7853|    7.44669|          0|         0|         1|         0|         5|         0|         2|         2|          0|      228500|           0|           0|           0|      133000|      324000|          1|          0|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       157|          0|          MP|      4|     0.8549|          0|        01|        09|        09|        01|       35| 40.844|      7.778|       2.14|     310000|              0|              2|              0|             0| 193.7240650407|104.9435772358|              0|              0|             0|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              3|              3|    2.8136170213|   2.4535519126|    24.77314|    15.28002|     9.88854|     8.86516|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              2|           0| 1.381294964|     4.12829|           0|              0|              0|           0|           0|           165|       020|        00|      0|          1|         10|          1|    2.36836|          1|              0|         10|    9.05266|    5.45534|          0|         0|         2|         0|         6|         0|        11|         5|     546000|    244430.6|           0|           0|           0|     19008.6|     1673110|    2.36836|          0|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          5|            0|         7105|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          5|          0|         5560|            0|          2|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       158|          0|          R7|      3|     0.5519|          0|        01|        09|        16|        01|       34|  27.51|      7.268|       2.64|     300000|              0|              4|              0|             0|  16.5882226981|  7.4404710921|              0|              4|             0|      17.660325|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          1|           0|1.3239846644|              0|              0|               0|               0|             11|             11|    6.4477588872|  22.2498977807|    35.91325|    47.24832|    10.57131|     9.78235|     0.13305|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|     4.54257|              0|              0|           0|           0|           165|       007|        00|      0|          1|         10|          1|          1|          1|              0|         10|    6.53566|    8.06139|          0|         0|         2|         0|         8|         0|        45|         9|     104500|    64037.22|           0|           0|           0|    71037.22|      177500|     2.6274|   42.30156|             0|             0|             0|             0|          0|          1|          0|          1|           0|        9955|          0|          1|           0|           7|           0|           0|          4|          1|     11589.75|       110625|             1|             0|           2605|              0|             1|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          1|            0|         2000|          0|          1|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            8|
|       159|          1|          MD|      2|     0.4037|          0|        02|        01|        21|        01|       34| 36.375|      7.855|       3.13|    4000000|              6|              6|  31.2691786667| 31.2691786667|   4.3513418009|  4.2639124123|              2|             12|     10.097235|  51.9799490476|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          1|          0|1.3239846644|           0|              0|              0|               0|               0|             44|             44|   21.9609883564|  37.1393965798|    64.81783|    92.13643|    14.77315|    16.01776|     1.41595|     0.51028|              0|           0|              1|              3|0.4241033954|2.0845014154|              0|              0|           0|           0|              1|              2|0.9075257329|2.8421859372|3.2983837906|3.8852363962|              0|              0|           0|           0|           165|       044|        00|      0|          1|    7.58566|          0|          1|          1|              0|     7.6294|    5.05033|    7.02334|          0|         0|         2|        15|        12|         0|       850|        12|   18094.93|   1075127.8|           0|           0|           0|   910347.33|      424425|    4.17035|          0|             0|             0|             0|          5000|          3|          0|          3|          0|     1000.82|           0|          2|          0|           7|           0|           0|           0|          6|          6|    5864499.3|   3696670.12|            25|            16|     3885585.54|      1332985.4|             6|             3|          0|           0|          6|          6|        38403.5|  1061705.63|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          6|          6|   1314807.91|   2047536.21|         36|         11|              0|        4461180|             0|             1|          0|          0|           0|            0|          0|          0|           63|
|       160|          0|          MT|      2|     0.3311|          0|        03|        07|        23|        01|       35| 52.841|      7.521|       5.59|     500000|              0|              0|              0|             0|              0|             0|              0|              0|             0|              0|              0|              0|              0|             0|            0|            0|              0|              5|            0|           42|          0|          1|           0|1.3239846644|              0|              0|               0|               0|             11|             11|    8.7203137941|   14.238738924|     8.73478|    39.70903|     9.22196|     8.59495|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           083|       135|        00|      0|          1|    7.20468|    2.20895|    2.20895|          9|              0|     2.2148|    9.05266|    5.34532|          0|         0|         1|         0|         3|         0|         0|         0|          0|           0|           0|           0|           0|           0|           0|          0|          0|             0|             0|             0|             0|          0|         28|          0|         21|           0|     4428.37|          0|          2|           0|           7|           0|           0|          1|          0|     27611.91|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       161|          0|          MP|      4|     0.8549|          0|        01|        09|        25|        01|       35| 48.214|      7.595|       3.86|     350000|              2|              0|  97.2494049587| 97.2494049587|              0| 41.1350965517|              1|              1|      30.55496|        3.81937|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              0|              0|               0|              0|     11.5758|    16.12924|    10.37491|     7.58014|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       189|        00|      0|          1|         10|    2.16765|    2.16765|          1|              0|         10|    7.29599|         10|          0|         0|         2|         0|         6|         0|        11|         5|  202169.63|       24750|           0|           0|           0|    62136.38|      345327|    2.16765|    4.13947|             0|             0|             0|      50170.48|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          1|              0|      100000|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       162|          0|          MD|      2|     0.4037|          0|        20|        05|        16|        08|       34|  7.458|      7.422|       3.91|   16500000|              4|              0|   1.5787256451|  1.5787256451|              0|  1.5787256451|              2|              0|    12.3622275|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|             10|             10|    0.9452690722|  14.0596936089|     9.55182|    57.84324|    11.16673|    15.18935|     2.64899|           0|              0|           0|              2|              0|3.1121564524|           0|              0|              0|           0|           0|              1|              0|0.9648827596|           0|     4.54257|      3.1366|              0|              0|           0|           0|           000|       000|        55|      1|          1|    7.00247|          1|          1|          0|              0|     8.8699|    4.74044|          0|    4.09746|         0|         1|         3|         4|         0|        27|         8|  461566.63|           0|           0|           0|           0|    449506.6|   481666.67|    5.97552|          0|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          4|          0|    1326111.5|            0|             3|             0|        3121472|              0|             1|             0|          0|           0|          5|          0|      378508.25|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          1|          2|       100000|     20502.75|          1|          1|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            6|
|       163|          0|          MD|      2|     0.4037|          0|        01|        09|        03|        01|       35| 42.027|      7.838|        0.4|       1000|              2|              2|   1.4816723845|  1.4816723845|   0.1936990405|  0.0604772743|              1|              2|       7.10566|   9.4742133333|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              6|              6|    0.1936990098|   7.3646063715|    12.14009|    18.81664|    11.08466|     7.77926|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       071|        00|      0|          1|         10|    1.24083|    1.24083|          1|              0|         10|    3.37444|     2.7428|          0|         0|         2|         0|         5|         0|        12|         4|   10862.22|    34342.88|           0|           0|           0|    42489.54|           0|    1.24083| 1138.92631|      42489.54|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       164|          0|          MP|      4|     0.8549|          0|        01|        07|        16|        01|       34| 28.701|      7.836|       5.88|     100000|              1|              0|   0.8463014594|  0.8463014594|              0|  0.8463014594|              0|              0|             0|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              0|              0|               0|              0|     9.03639|     1.69791|    12.91954|     4.96234|      3.4657|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       007|        00|      0|          1|    7.20468|          1|          1|          1|              0|         10|     6.0387|    8.06139|          0|         0|         1|         0|         3|         0|         2|         2|  812435.04|           0|           0|           0|           0|   124870.08|     1500000|          1|          0|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          1|          1|       100000|       400000|             1|             0|         100000|              0|             1|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            9|
|       165|          0|          MP|      4|     0.8549|          0|        20|        04|        30|        01|       34| 11.868|      7.825|       2.65|      30000|              0|              6|              0|             0|   1.3918689799|  1.3918689799|              0|             57|             0| 368.5204603114|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|             18|             18|    7.7823089319|    7.693764088|    48.54661|    57.08529|     14.1243|    15.18085|     0.26449|     1.20439|              0|           0|              0|              3|           0|1.0374131367|              0|              0|           0|           0|              2|              2|0.7193984707|2.7942698208|3.1959091639|4.0179249943|              0|              0|           0|           0|           000|       000|        13|      0|          1|     8.8331|    2.16765|    2.16765|          0|              0|     8.8699|    4.69638|          0|    6.83871|         0|         1|        35|         8|         0|       683|        12|          0|  1306244.92|           0|           0|           0|   1166531.8|   335311.48|    9.34506| 2218.05301|             0|       7833.33|             0|       8925.25|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          6|          6|     20397.26|   1229427.28|             1|            27|          11500|     1063379.54|             1|             3|          0|           0|          0|          6|              0|    72725.17|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          6|          6|   2855644.37|    725904.95|          7|         32|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|           36|
|       166|          0|          MP|      4|     0.8549|          0|        01|        07|        01|        01|       35| 41.134|      7.816|       3.11|       1000|              0|              1|              0|             0|  29.0508552936|  3.6153846154|              0|              0|             0|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              6|              6|     0.549946995|   3.7920805737|     5.87531|    27.94022|    11.22801|     9.13973|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              2|              3|0.3638549018|0.8888888889|      3.2567|4.4241509811|              0|              0|           0|           0|           165|       021|        00|      0|          1|    7.20468|      5.298|    4.86709|          1|              0|         10|    8.88928|    7.23761|          0|         0|         1|         0|         6|         0|         3|         3|     300000|     33581.5|           0|           0|           0|     33581.5|      300000|    3.89028|   423.5866|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          5|          6|         7200|    111097.72|          1|          7|              0|          49000|             0|             1|          0|          0|           0|            0|          0|          0|            0|
|       167|          0|          R7|      3|     0.5519|          0|        01|        07|        03|        01|       35| 35.219|      7.312|       1.94|     300000|              0|              0|              0|             0|              0|             0|              0|              0|             0|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              5|              5|    9.9962756052|   2.6698244651|    16.84422|    16.98966|    10.40269|     6.77714|     3.67618|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       057|        00|      0|          1|    7.20468|          1|    2.73155|          1|        69.8027|         10|    6.49079|     7.0084|          0|         0|         3|         0|         9|         0|         4|         1|          0|      268000|           0|           0|           0|      268000|           0|    2.73155|    69.8027|             0|        268000|             0|        168000|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          1|          0|       201200|            0|             2|             0|         201200|              0|             1|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            6|
|       168|          0|          MD|      2|     0.4037|          0|        01|        09|        26|        01|       35| 62.542|      7.468|        2.4|     300000|              0|              1|              0|             0|   0.6210349357|  0.6210349357|              0|              1|             0|   2.1415366667|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              0|              0|    0.6188315959|              0|      7.9601|    11.45416|    10.30688|      6.0063|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       089|        00|      0|          1|         10|    3.52848|    3.52848|          1|              0|         10|     7.7853|    7.44669|          0|         0|         2|         0|         5|         0|         3|         2|          0|    25161.95|           0|           0|           0|    25161.95|           0|    3.52848|          0|      23861.95|          2600|      23861.95|          2600|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       169|          0|          M2|      3|     0.5005|          0|        01|        07|        03|        01|       35|  53.77|      7.052|       2.03|      10000|              0|              2|              0|             0|   9.5486486486|  9.5486486486|              0|              2|             0|       14.21132|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|             28|             28|   19.9590669043|  23.7704965384|    61.84423|    77.36002|     12.1379|    11.95973|      0.6583|           0|              0|           0|              0|              1|           0|2.5038118817|              0|              0|           0|           0|              2|              2|2.7675617459|1.7919248254|3.8335614102| 4.560145113|              0|              0|           0|           0|           165|       057|        00|      0|          1|    7.20468|          1|          1|          1|              0|         10|     5.1796|     7.0084|          0|         0|         2|         0|         9|         0|        13|         5|          0|       51106|           0|           0|           0|       18106|      165000|    5.46531| 2735.21118|             0|       50137.5|             0|         60350|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          6|          6|   1409847.61|   1618850.92|             8|             0|      542009.54|              0|             5|             0|          0|           0|          0|          5|              0|    653327.2|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          6|          6|    613446.59|    243747.34|         17|          3|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|           10|
|       170|          0|          MD|      2|     0.4037|          0|        01|        09|        26|        01|       35| 43.186|     11.964|       3.24|     300000|              0|              1|              0|             0|   0.7265791424|  0.7265791424|              0|              1|             0|   2.1415366667|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              0|              0|               0|              0|     9.94618|     3.78579|     7.22919|     6.01932|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       089|        00|      0|          1|         10|          1|          1|          1|              0|         10|     7.7853|    7.44669|          0|         0|         1|         0|         2|         0|         3|         2|          0|       15000|           0|     7385.77|           0|    14885.77|           0|          1|          0|       7385.77|         15000|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       171|          0|          SW|      3|     0.4329|          0|        01|        08|        06|        01|       35| 16.427|      7.447|       2.11|       8000|              0|              2|              0|             0|   5.0666666667|  3.4888888889|              0|              2|             0|             20|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              5|              5|    4.8218489938|  29.6969995424|    36.34894|      28.862|    11.19303|     9.10219|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       070|        00|      0|          1|    6.04394|          1|          1|          1|              0|         10|    6.49079|    5.96154|          0|         0|         1|         0|         3|         0|         8|         6|      10000|        7550|           0|           0|           0|     7958.33|           0|          1|   15.03586|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          2|          6|         5410|      6708.33|             0|             0|              0|              0|             0|             0|          0|           0|          0|          1|              0|    50550.15|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       172|          0|          MP|      4|     0.8549|          0|        20|        04|        26|        01|       35| 21.071|      7.778|       6.63|     600000|              5|              5|  37.4007466667| 37.4007466667|  77.7570943038|  2.9357502632|              4|              2| 68.5291733333|       12.84922|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|             19|             19|    4.8451054632|  13.5271299682|    16.07995|    39.75696|    10.84386|    14.02144|           0|           0|              0|           0|              3|              0|2.3067385507|           0|              0|              0|           0|           0|              3|              0|1.5446700514|           0|           0|8.8524157507|              0|              2|           0|1.8813595701|           000|       000|        58|      0|          1|     8.8331|          0|    2.59182|          0|              0|     8.8699|    1.91692|          0|    3.94122|         0|         2|         0|         4|         0|        37|        11|  100151.68|   166818.68|           0|           0|           0|    78901.65|   448915.47|    7.89914|          0|     115232.57|        110960|     115232.57|        110960|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          5|          1|      157933.33|    362255.9|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          5|            0|    194230.58|          0|          3|              0|       876530.9|             0|             1|          0|          5|           0|     16353.11|          0|          1|            0|
|       173|          0|          MP|      4|     0.8549|          0|        01|        07|        13|        01|       34| 41.027|      7.778|       2.78|     350000|              5|              5|     126.691195|    126.691195|  11.0756756757|  8.2982608696|              1|              3|       6.79127|  23.3734533333|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              7|              7|    1.0723575746|   4.7110654994|     35.0987|    52.13769|    10.63711|     13.2537|           0|           0|              0|           0|              1|              0|0.7767106843|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|     6.09425|              0|              0|           0|           0|           165|       044|        00|      0|          1|    7.20468|          1|          1|          1|              0|         10|    5.27881|    7.02334|          0|         0|         1|         0|         4|         0|        28|        10|  105352.96|    204187.5|           0|           0|           0|   129162.75|      332600|    2.89705|  225.85432|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          1|            0|         5000|             0|             0|              0|              0|             0|             0|          0|           0|          4|          1|         208250|       96000|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          1|            0|         1900|          0|          1|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       174|          0|          R7|      3|     0.5519|          0|        01|        09|        03|        01|       35| 40.192|      7.115|       0.16|    1100000|              0|              0|              0|             0|              0|             0|              0|              0|             0|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              0|              0|               0|              0|    18.29506|    11.11203|     10.6516|     9.35078|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|     4.54257|              0|              0|           0|           0|           165|       162|        00|      0|          1|         10|          1|          1|          1|              0|         10|    6.17802|    7.66703|          0|         0|         1|         0|         2|         0|         1|         1|     281322|           0|           0|           0|           0|           0|      281322|          1|          0|             0|        281322|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          1|            0|         3000|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          1|            0|    351337.05|          0|          1|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|       175|          0|          MP|      4|     0.8549|          0|        01|        07|        16|        01|       35| 40.792|      6.896|       4.29|     100000|              3|              0|              8|             8|              0|             8|              2|              0|      28.25652|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              4|              4|               0|   7.8666666667|    11.64886|    14.55755|     9.35387|    10.54794|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|     4.12829|              0|              0|           0|           0|           165|       044|        00|      0|          1|    7.20468|    1.46276|    1.46276|          1|              0|         10|    6.60008|    7.02334|          0|         0|         1|         0|         3|         0|        11|         7|  186666.67|       20000|           0|           0|           0|       48000|      300000|    2.55578|  361.59864|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          1|              0|       99000|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          1|            0|       300000|          0|          1|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
